index,x,y,active,compound_name
1,-0.010776703091084514,-0.00590492483112128,false,Delta-9-tetrahydrocannabinol
2,-0.025190406628120648,-0.0036526024237343866,false,Cannabigerol
3,-0.03208330974030271,-0.0023503929291460238,false,Cannabigerovarin
4,-0.02105239314463933,-0.003723056315530488,false,Cannabichromene
5,-0.010413593137559301,-0.004871696346978024,false,Cannabidiol
6,-0.013723754208589675,-0.0047711198592253435,false,Cannabidivarin
7,-0.007567685503017935,-0.003900054309968713,false,Delta-9-tetrahydrocannabinolic acid A
8,-0.007572049973176254,-0.0038984300775719667,false,Delta-9-tetrahydrocannabinolic acid B
9,-0.009905579499758137,-0.004568044065151763,false,Delta-9-tetrhydrocannabivarin
10,-0.0063877685531710015,-0.003982661102821098,false,Delta-8-tetrahydrocannabinol
11,-0.04351328784130683,0.005215003774476968,false,Cannabinol
12,-0.04768507473275641,0.006149437710811018,false,Cannabinol-C4
13,-0.05729908697985618,0.008538134732361286,false,Cannabinol-C2
14,-0.00452243867171046,-0.005145290344846604,false,Delta-9-cis-tetrahydrocannabinol
15,-0.0043125315842875425,-0.004329501489670452,false,6a,7,10a-Trihydroxy-delta-9-tetrahydrocannabinol
16,-0.008838418240052574,-0.005313924161107566,false,Delta-9-tetrahydrocannabivarinic acid
17,-0.030728008428095716,-0.008151751631589634,true,Cannabigerolic acid monomethylether
18,-0.030890700024196166,-0.009013054399450972,true,Cannabigerol monomethylether
19,-0.040674028343459456,-0.008850901640244827,true,Cannabigerovarinic acid
20,-0.03353494463188109,-0.00792765526206709,true,Cannabichromevarinic acid
21,-0.034107316115943184,-0.009107996361712565,true,Cannabichromevarin
22,-0.003127430875878312,-0.0014770529196717203,true,Cannabidiol monomethylether
23,-0.006242065941597659,-0.002535658081414913,true,Cannabidiol-C4
24,-0.009598099195452016,-0.0027440147836048203,true,Cannabidivarinic acid
25,0.0012713520599235287,0.0003384336826592239,true,Delta-9-tetrahydrocannabinol-C4
26,0.003787107155464805,0.0012312846322467417,true,Delta-7-cis-iso-tetrahydrocannabivarin
27,0.00506481573634926,0.0022247016882257537,true,Detla-8-tetrahydrocannabinolic acid
28,0.030736273836854698,0.009915832263450624,true,Cannabicyclolic acid
29,0.030983067546574213,0.009619153973929252,true,Cannabicyclol
30,0.013857666339631137,0.007202137357765335,true,Cannabielsoin
31,-0.0286833095812632,0.01494539190442922,true,Cannabinolic acid
32,-0.029206787086470808,0.014702422407149847,true,Cannabinol methylether
33,-0.03904325327717117,0.016510904054747866,true,Cannabivarin
34,0.006461711806692838,0.004903691367686911,true,10-Ethoxy-9-hydroxy-delta-6a-tetrahydrocannabinol
35,0.00593584276920618,0.0048946327912107795,true,8,9-Dihydroxy-delta-6a-tetrahydrocannabinol
36,0.020559388914069124,0.0030303999601963166,true,Cannabicitran
37,0.006343505952129443,0.005104692127960303,true,10-Oxo-delta-6a-tetrahydrocannabinol
38,0.02926224439444159,-0.0016798799866476527,true,2-Oxo-Delta3(4)-tetrahydrocannabinol
39,0.01187296493670215,0.004114107587050792,true,Delta1(2)-Tetrahydrocannabinol methylether
40,-0.008039842596216979,0.00938297965301762,true,Cannabichromene monomethylether
41,0.012442475785277685,0.002834864584523545,true,8,9-Dihydrocannabidiol
42,0.035954683855619285,-0.004462096237296355,true,(+)-Fenchone
43,0.03619307259429108,-0.00446983253822704,true,Sabinene hydrate
44,0.03334983455625679,-0.004085276441485242,true,Bulnesol
45,0.03524897734527133,-0.004070266778832662,true,trans-2-Pinanol
46,0.03479051830910063,-0.004108392858196062,true,Camphene hydrate
47,0.03429441246764097,-0.004442569401745393,true,Selina-5,11-diene
48,0.03433939191672783,-0.004061689870061279,true,Juniper camphor
49,0.004831006761575673,0.003983021135507997,false,Cannabigerolic acid
